Feature,Importance
A11,0.15479293120736845
A6,0.14544664961858825
A1_3,0.11918369430289323
DQ2_10.0,0.06933559296143844
A5,0.06337465187497501
SQ6_R,0.041177387922919105
SQ2_X,0.03436480921077575
DQ3_2.0,0.031924692652323464
A4_1,0.029541539746329545
DQ5_4,0.020774979081134296
A4_2,0.018972752128558854
B8_4,0.018455765363480765
DQ2_2.0,0.018173545548724444
SQ1,0.017516401237356163
DQ5_3,0.01487317625582629
B2_R_3.0,0.014395691516908907
B7_4,0.014284107083641959
B7_2,0.014035760372785665
B7_3,0.01385432216032136
B2_R_2.0,0.01368130213645613
DQ5_1,0.012468312860025615
DQ2_7.0,0.012265913659843105
A4_6,0.012088905809253132
DQ2_8.0,0.011115354168047839
B8_2,0.01104545587119302
A1_2,0.010491926371010466
B8_3,0.010432491440667964
DQ5_2,0.008095469798543137
A4_7,0.008057647264900792
DQ5_5,0.006179080217202467
DQ2_3.0,0.004729501872262497
A4_3,0.0035508726392424936
DQ5_6,0.0035474569683513753
DQ2_9.0,0.0030659242399892405
B7_6,0.0024180530388580256
B7_5,0.001765708528405188
B8_5,0.0017354750151195055
A4_4,0.0016203140286519453
DQ2_4.0,0.0016161794092472604
DQ2_5.0,0.0015283726632763601
A4_5,0.001489094044917055
DQ2_6.0,0.0013996189537371054
DQ3_3.0,0.0008415068908839772
DQ3_4.0,0.0002916118635645036
