Feature,Coefficient
A11,-2.602848537944839
A6,-0.6326768195927279
A1_3,0.5638186501740294
DQ3_2.0,0.5563973412067934
B7_3,-0.36019674646102084
B7_2,-0.3005249950477619
DQ2_10.0,0.29207689949209087
DQ2_2.0,0.27178890370075937
SQ2_X,0.2187740995267534
B8_4,-0.21255960396827436
DQ2_7.0,0.18931386537347067
A5,-0.17410439149659263
A4_1,-0.16048349636759554
SQ6_R,0.1518762841714837
DQ2_3.0,0.14364832721139106
DQ2_9.0,0.14287485542174896
DQ5_3,0.14026762883434463
B2_R_3.0,-0.12162938411998168
DQ5_1,-0.10730619492893183
A4_2,0.10637340831948251
A4_5,0.10369051571833732
DQ5_5,-0.09819123381161023
B7_4,0.0828009587302961
DQ2_6.0,0.07419928922730774
B8_5,0.07371958087975795
A1_2,0.0691472517949569
DQ5_6,0.06208870981818172
DQ2_5.0,-0.06061551708052952
DQ3_4.0,0.06029423401024825
B7_5,0.05938895151031
DQ2_8.0,-0.0552736315667976
A4_7,0.049827574661640006
B7_6,0.047344590691046504
B8_2,0.04291071430227985
DQ5_4,-0.03940111232839161
DQ3_3.0,0.038974786106833616
A4_3,-0.03461576489815486
A4_6,-0.030934565932824974
DQ5_2,0.02849959822163144
SQ1,0.016127104190051637
DQ2_4.0,0.013090217360960279
B2_R_2.0,0.012524570635223022
A4_4,0.011201877229580593
B8_3,-0.0069386083541297
